Genome,Deepest_taxonomy,Family_subfamily
SAMEA2594004_p1,novel_order_26_of_Caudoviricetes,novel_family_0_of_novel_order_26_of_Caudoviricetes
SAMN04256437_p2,novel_order_26_of_Caudoviricetes,novel_family_0_of_novel_order_26_of_Caudoviricetes
SAMN10963736_p4,novel_order_26_of_Caudoviricetes,novel_family_0_of_novel_order_26_of_Caudoviricetes
SAMN12057821_p1,novel_order_26_of_Caudoviricetes,novel_family_0_of_novel_order_26_of_Caudoviricetes
SAMN12057824_p1,novel_order_26_of_Caudoviricetes,novel_family_0_of_novel_order_26_of_Caudoviricetes
SAMN15646532_p2,novel_order_26_of_Caudoviricetes,novel_family_0_of_novel_order_26_of_Caudoviricetes
SAMN04128477_p2,novel_order_26_of_Caudoviricetes,novel_family_0_of_novel_order_26_of_Caudoviricetes
SAMN08329238_p2,novel_order_26_of_Caudoviricetes,novel_family_0_of_novel_order_26_of_Caudoviricetes
SAMN02912086_p1,novel_order_26_of_Caudoviricetes,novel_family_0_of_novel_order_26_of_Caudoviricetes
SAMN07338087_p1,novel_order_26_of_Caudoviricetes,novel_family_0_of_novel_order_26_of_Caudoviricetes
SAMN13706805_p1,novel_order_26_of_Caudoviricetes,novel_family_0_of_novel_order_26_of_Caudoviricetes
SAMN29790272_p2,novel_order_26_of_Caudoviricetes,novel_family_0_of_novel_order_26_of_Caudoviricetes
SAMN04320555_p2,novel_order_26_of_Caudoviricetes,novel_family_0_of_novel_order_26_of_Caudoviricetes
SAMN09874178_p3,novel_order_26_of_Caudoviricetes,novel_family_0_of_novel_order_26_of_Caudoviricetes
SAMN09878947_p3,novel_order_26_of_Caudoviricetes,novel_family_0_of_novel_order_26_of_Caudoviricetes
SAMN12404565_p3,novel_order_26_of_Caudoviricetes,novel_family_0_of_novel_order_26_of_Caudoviricetes
SAMN12645948_p1,novel_order_26_of_Caudoviricetes,novel_family_0_of_novel_order_26_of_Caudoviricetes
SAMN14852540_p2,novel_order_26_of_Caudoviricetes,novel_family_0_of_novel_order_26_of_Caudoviricetes
SAMN29790272_p3,novel_order_26_of_Caudoviricetes,novel_family_0_of_novel_order_26_of_Caudoviricetes
SAMN32300845_p2,novel_order_26_of_Caudoviricetes,novel_family_0_of_novel_order_26_of_Caudoviricetes
SAMN32300851_p2,novel_order_26_of_Caudoviricetes,novel_family_0_of_novel_order_26_of_Caudoviricetes
SAMN37260050_p3,novel_order_26_of_Caudoviricetes,novel_family_0_of_novel_order_26_of_Caudoviricetes
SAMN39716331_p1,novel_order_26_of_Caudoviricetes,novel_family_0_of_novel_order_26_of_Caudoviricetes
SAMN40198115_p1,novel_order_26_of_Caudoviricetes,novel_family_0_of_novel_order_26_of_Caudoviricetes
SAMN40232154_p1,novel_order_26_of_Caudoviricetes,novel_family_0_of_novel_order_26_of_Caudoviricetes
SAMN40697797_p1,novel_order_26_of_Caudoviricetes,novel_family_0_of_novel_order_26_of_Caudoviricetes
SAMN55333169_p2,novel_order_26_of_Caudoviricetes,novel_family_0_of_novel_order_26_of_Caudoviricetes
SAMN24593137_p1,novel_order_26_of_Caudoviricetes,novel_family_0_of_novel_order_26_of_Caudoviricetes
SAMN02368294_p1,novel_order_26_of_Caudoviricetes,novel_family_1_of_novel_order_26_of_Caudoviricetes
SAMN12648281_p1,novel_order_26_of_Caudoviricetes,novel_family_1_of_novel_order_26_of_Caudoviricetes
SAMN12668377_p3,novel_order_26_of_Caudoviricetes,novel_family_1_of_novel_order_26_of_Caudoviricetes
SAMN13706869_p1,novel_order_26_of_Caudoviricetes,novel_family_1_of_novel_order_26_of_Caudoviricetes
SAMN30418558_p1,novel_order_26_of_Caudoviricetes,novel_family_1_of_novel_order_26_of_Caudoviricetes
SAMN39105730_p2,novel_order_26_of_Caudoviricetes,novel_family_1_of_novel_order_26_of_Caudoviricetes
SAMN41920669_p2,novel_order_26_of_Caudoviricetes,novel_family_1_of_novel_order_26_of_Caudoviricetes
SAMN45842239_p2,novel_order_26_of_Caudoviricetes,novel_family_1_of_novel_order_26_of_Caudoviricetes
SAMN47436122_p1,novel_order_26_of_Caudoviricetes,novel_family_1_of_novel_order_26_of_Caudoviricetes
SAMN53840730_p1,novel_order_26_of_Caudoviricetes,novel_family_1_of_novel_order_26_of_Caudoviricetes
SAMN24593137_p3,novel_order_26_of_Caudoviricetes,novel_family_1_of_novel_order_26_of_Caudoviricetes
SAMN04508217_p2,novel_order_26_of_Caudoviricetes,novel_family_1_of_novel_order_26_of_Caudoviricetes
SAMN10362062_p3,novel_order_26_of_Caudoviricetes,novel_family_1_of_novel_order_26_of_Caudoviricetes
SAMN42003083_p1,novel_order_26_of_Caudoviricetes,novel_family_1_of_novel_order_26_of_Caudoviricetes
SAMN31656021_p5,novel_order_26_of_Caudoviricetes,novel_family_1_of_novel_order_26_of_Caudoviricetes
SAMN52950332_p4,novel_order_26_of_Caudoviricetes,novel_family_1_of_novel_order_26_of_Caudoviricetes
SAMN20805048_p1,novel_order_26_of_Caudoviricetes,novel_family_1_of_novel_order_26_of_Caudoviricetes
SAMN24593214_p5,novel_order_26_of_Caudoviricetes,novel_family_1_of_novel_order_26_of_Caudoviricetes
SAMN02393808_p2,novel_order_26_of_Caudoviricetes,novel_family_1_of_novel_order_26_of_Caudoviricetes
SAMN05356867_p2,novel_order_26_of_Caudoviricetes,novel_family_1_of_novel_order_26_of_Caudoviricetes
SAMN07350482_p1,novel_order_26_of_Caudoviricetes,novel_family_1_of_novel_order_26_of_Caudoviricetes
SAMN08741621_p1,novel_order_26_of_Caudoviricetes,novel_family_1_of_novel_order_26_of_Caudoviricetes
SAMN12057836_p2,novel_order_26_of_Caudoviricetes,novel_family_1_of_novel_order_26_of_Caudoviricetes
SAMN12057860_p1,novel_order_26_of_Caudoviricetes,novel_family_1_of_novel_order_26_of_Caudoviricetes
SAMN12168603_p1,novel_order_26_of_Caudoviricetes,novel_family_1_of_novel_order_26_of_Caudoviricetes
SAMN13704164_p2,novel_order_26_of_Caudoviricetes,novel_family_1_of_novel_order_26_of_Caudoviricetes
SAMN13897687_p1,novel_order_26_of_Caudoviricetes,novel_family_1_of_novel_order_26_of_Caudoviricetes
SAMN36689570_p3,novel_order_26_of_Caudoviricetes,novel_family_1_of_novel_order_26_of_Caudoviricetes
SAMN38476540_p3,novel_order_26_of_Caudoviricetes,novel_family_1_of_novel_order_26_of_Caudoviricetes
SAMN39832058_p1,novel_order_26_of_Caudoviricetes,novel_family_1_of_novel_order_26_of_Caudoviricetes
SAMEA115018757_p1,novel_order_26_of_Caudoviricetes,novel_family_1_of_novel_order_26_of_Caudoviricetes
SAMN24593215_p1,novel_order_26_of_Caudoviricetes,novel_family_1_of_novel_order_26_of_Caudoviricetes
SAMN48586876_p5,novel_order_26_of_Caudoviricetes,novel_family_1_of_novel_order_26_of_Caudoviricetes
SAMN52950332_p3,novel_order_26_of_Caudoviricetes,novel_family_1_of_novel_order_26_of_Caudoviricetes
SAMN55333167_p1,novel_order_26_of_Caudoviricetes,novel_family_1_of_novel_order_26_of_Caudoviricetes
SAMN03571538_p2,novel_order_26_of_Caudoviricetes,novel_family_1_of_novel_order_26_of_Caudoviricetes
SAMN06013679_p2,novel_order_26_of_Caudoviricetes,novel_family_1_of_novel_order_26_of_Caudoviricetes
SAMN08329236_p2,novel_order_26_of_Caudoviricetes,novel_family_1_of_novel_order_26_of_Caudoviricetes
SAMN09386766_p2,novel_order_26_of_Caudoviricetes,novel_family_1_of_novel_order_26_of_Caudoviricetes
SAMN10436686_p1,novel_order_26_of_Caudoviricetes,novel_family_1_of_novel_order_26_of_Caudoviricetes
SAMN14861780_p3,novel_order_26_of_Caudoviricetes,novel_family_1_of_novel_order_26_of_Caudoviricetes
SAMN15889509_p1,novel_order_26_of_Caudoviricetes,novel_family_1_of_novel_order_26_of_Caudoviricetes
SAMN16057398_p1,novel_order_26_of_Caudoviricetes,novel_family_1_of_novel_order_26_of_Caudoviricetes
SAMN26741749_p3,novel_order_26_of_Caudoviricetes,novel_family_1_of_novel_order_26_of_Caudoviricetes
SAMN28495021_p1,novel_order_26_of_Caudoviricetes,novel_family_1_of_novel_order_26_of_Caudoviricetes
SAMN28511831_p1,novel_order_26_of_Caudoviricetes,novel_family_1_of_novel_order_26_of_Caudoviricetes
SAMN40604358_p1,novel_order_26_of_Caudoviricetes,novel_family_1_of_novel_order_26_of_Caudoviricetes
SAMN42940246_p2,novel_order_26_of_Caudoviricetes,novel_family_1_of_novel_order_26_of_Caudoviricetes
SAMN50800691_p1,novel_order_26_of_Caudoviricetes,novel_family_1_of_novel_order_26_of_Caudoviricetes
SAMN25050340_p2,novel_order_26_of_Caudoviricetes,novel_family_1_of_novel_order_26_of_Caudoviricetes
SAMN53317748_p1,novel_order_26_of_Caudoviricetes,novel_family_1_of_novel_order_26_of_Caudoviricetes
SAMEA3443777_p2,novel_order_26_of_Caudoviricetes,novel_family_1_of_novel_order_26_of_Caudoviricetes
SAMN05302751_p1,novel_order_26_of_Caudoviricetes,novel_family_1_of_novel_order_26_of_Caudoviricetes
SAMN07337969_p1,novel_order_26_of_Caudoviricetes,novel_family_1_of_novel_order_26_of_Caudoviricetes
SAMN07338101_p2,novel_order_26_of_Caudoviricetes,novel_family_1_of_novel_order_26_of_Caudoviricetes
SAMN09878769_p1,novel_order_26_of_Caudoviricetes,novel_family_1_of_novel_order_26_of_Caudoviricetes
SAMN12123413_p2,novel_order_26_of_Caudoviricetes,novel_family_1_of_novel_order_26_of_Caudoviricetes
SAMN12671088_p2,novel_order_26_of_Caudoviricetes,novel_family_1_of_novel_order_26_of_Caudoviricetes
SAMN28495028_p3,novel_order_26_of_Caudoviricetes,novel_family_1_of_novel_order_26_of_Caudoviricetes
SAMN28767221_p7,novel_order_26_of_Caudoviricetes,novel_family_1_of_novel_order_26_of_Caudoviricetes
SAMN28767356_p2,novel_order_26_of_Caudoviricetes,novel_family_1_of_novel_order_26_of_Caudoviricetes
SAMN28767359_p1,novel_order_26_of_Caudoviricetes,novel_family_1_of_novel_order_26_of_Caudoviricetes
SAMN40566039_p1,novel_order_26_of_Caudoviricetes,novel_family_1_of_novel_order_26_of_Caudoviricetes
SAMN40891659_p2,novel_order_26_of_Caudoviricetes,novel_family_1_of_novel_order_26_of_Caudoviricetes
SAMN41071121_p1,novel_order_26_of_Caudoviricetes,novel_family_1_of_novel_order_26_of_Caudoviricetes
SAMN47931894_p1,novel_order_26_of_Caudoviricetes,novel_family_1_of_novel_order_26_of_Caudoviricetes
SAMD00428691_p1,novel_order_26_of_Caudoviricetes,novel_family_1_of_novel_order_26_of_Caudoviricetes
SAMN03178171_p4,novel_order_27_of_Caudoviricetes,novel_family_0_of_novel_order_27_of_Caudoviricetes
SAMN13023392_p2,novel_order_27_of_Caudoviricetes,novel_family_0_of_novel_order_27_of_Caudoviricetes
SAMN13404287_p1,novel_order_27_of_Caudoviricetes,novel_family_0_of_novel_order_27_of_Caudoviricetes
SAMN13747351_p3,novel_order_27_of_Caudoviricetes,novel_family_0_of_novel_order_27_of_Caudoviricetes
SAMN30916803_p2,novel_order_27_of_Caudoviricetes,novel_family_0_of_novel_order_27_of_Caudoviricetes
SAMN39715769_p4,novel_order_27_of_Caudoviricetes,novel_family_0_of_novel_order_27_of_Caudoviricetes
SAMN40453158_p1,novel_order_27_of_Caudoviricetes,novel_family_0_of_novel_order_27_of_Caudoviricetes
SAMN47436111_p1,novel_order_27_of_Caudoviricetes,novel_family_0_of_novel_order_27_of_Caudoviricetes
SAMN52950338_p1,novel_order_27_of_Caudoviricetes,novel_family_0_of_novel_order_27_of_Caudoviricetes
SAMN12838353_p1,novel_order_27_of_Caudoviricetes,novel_family_0_of_novel_order_27_of_Caudoviricetes
SAMN18253121_p2,novel_order_27_of_Caudoviricetes,novel_family_0_of_novel_order_27_of_Caudoviricetes
SAMN28767221_p8,novel_order_27_of_Caudoviricetes,novel_family_0_of_novel_order_27_of_Caudoviricetes
SAMN40584504_p1,novel_order_27_of_Caudoviricetes,novel_family_0_of_novel_order_27_of_Caudoviricetes
SAMN08329249_p2,novel_order_27_of_Caudoviricetes,novel_family_0_of_novel_order_27_of_Caudoviricetes
SAMN31656032_p1,novel_order_27_of_Caudoviricetes,novel_family_0_of_novel_order_27_of_Caudoviricetes
SAMN20805040_p1,novel_order_27_of_Caudoviricetes,novel_family_0_of_novel_order_27_of_Caudoviricetes
SAMN03799837_p2,novel_order_27_of_Caudoviricetes,novel_family_0_of_novel_order_27_of_Caudoviricetes
SAMN04320555_p1,novel_order_27_of_Caudoviricetes,novel_family_0_of_novel_order_27_of_Caudoviricetes
SAMN05195240_p1,novel_order_27_of_Caudoviricetes,novel_family_0_of_novel_order_27_of_Caudoviricetes
SAMN12364842_p2,novel_order_27_of_Caudoviricetes,novel_family_0_of_novel_order_27_of_Caudoviricetes
SAMN15206675_p2,novel_order_27_of_Caudoviricetes,novel_family_0_of_novel_order_27_of_Caudoviricetes
SAMN15667311_p1,novel_order_27_of_Caudoviricetes,novel_family_0_of_novel_order_27_of_Caudoviricetes
SAMN18253121_p4,novel_order_27_of_Caudoviricetes,novel_family_0_of_novel_order_27_of_Caudoviricetes
SAMN18298701_p1,novel_order_27_of_Caudoviricetes,novel_family_0_of_novel_order_27_of_Caudoviricetes
SAMN28494991_p2,novel_order_27_of_Caudoviricetes,novel_family_0_of_novel_order_27_of_Caudoviricetes
SAMN28495005_p3,novel_order_27_of_Caudoviricetes,novel_family_0_of_novel_order_27_of_Caudoviricetes
SAMN28495009_p1,novel_order_27_of_Caudoviricetes,novel_family_0_of_novel_order_27_of_Caudoviricetes
SAMN28495016_p2,novel_order_27_of_Caudoviricetes,novel_family_0_of_novel_order_27_of_Caudoviricetes
SAMN28495021_p3,novel_order_27_of_Caudoviricetes,novel_family_0_of_novel_order_27_of_Caudoviricetes
SAMN28495048_p1,novel_order_27_of_Caudoviricetes,novel_family_0_of_novel_order_27_of_Caudoviricetes
SAMN28495052_p3,novel_order_27_of_Caudoviricetes,novel_family_0_of_novel_order_27_of_Caudoviricetes
SAMN28495053_p2,novel_order_27_of_Caudoviricetes,novel_family_0_of_novel_order_27_of_Caudoviricetes
SAMN28767225_p2,novel_order_27_of_Caudoviricetes,novel_family_0_of_novel_order_27_of_Caudoviricetes
SAMN28767247_p2,novel_order_27_of_Caudoviricetes,novel_family_0_of_novel_order_27_of_Caudoviricetes
SAMN28767276_p4,novel_order_27_of_Caudoviricetes,novel_family_0_of_novel_order_27_of_Caudoviricetes
SAMN29333275_p1,novel_order_27_of_Caudoviricetes,novel_family_0_of_novel_order_27_of_Caudoviricetes
SAMN35557946_p2,novel_order_27_of_Caudoviricetes,novel_family_0_of_novel_order_27_of_Caudoviricetes
SAMN39606344_p2,novel_order_27_of_Caudoviricetes,novel_family_0_of_novel_order_27_of_Caudoviricetes
SAMN39962933_p1,novel_order_27_of_Caudoviricetes,novel_family_0_of_novel_order_27_of_Caudoviricetes
SAMN40571800_p1,novel_order_27_of_Caudoviricetes,novel_family_0_of_novel_order_27_of_Caudoviricetes
SAMN40584213_p1,novel_order_27_of_Caudoviricetes,novel_family_0_of_novel_order_27_of_Caudoviricetes
SAMN40584261_p2,novel_order_27_of_Caudoviricetes,novel_family_0_of_novel_order_27_of_Caudoviricetes
SAMN40584520_p1,novel_order_27_of_Caudoviricetes,novel_family_0_of_novel_order_27_of_Caudoviricetes
SAMN40717396_p1,novel_order_27_of_Caudoviricetes,novel_family_0_of_novel_order_27_of_Caudoviricetes
SAMN40717398_p1,novel_order_27_of_Caudoviricetes,novel_family_0_of_novel_order_27_of_Caudoviricetes
SAMN40891653_p1,novel_order_27_of_Caudoviricetes,novel_family_0_of_novel_order_27_of_Caudoviricetes
SAMN48588251_p2,novel_order_27_of_Caudoviricetes,novel_family_0_of_novel_order_27_of_Caudoviricetes
SAMN52650543_p1,novel_order_27_of_Caudoviricetes,novel_family_0_of_novel_order_27_of_Caudoviricetes
SAMN54210352_p1,novel_order_27_of_Caudoviricetes,novel_family_0_of_novel_order_27_of_Caudoviricetes
SAMN40575477_p1,novel_order_27_of_Caudoviricetes,novel_family_0_of_novel_order_27_of_Caudoviricetes
SAMN48881381_p1,novel_order_27_of_Caudoviricetes,novel_family_0_of_novel_order_27_of_Caudoviricetes
SAMN13023390_p1,novel_order_27_of_Caudoviricetes,novel_family_0_of_novel_order_27_of_Caudoviricetes
SAMN03470190_p2,novel_order_28_of_Caudoviricetes,novel_family_0_of_novel_order_28_of_Caudoviricetes
SAMN04457467_p3,novel_order_28_of_Caudoviricetes,novel_family_0_of_novel_order_28_of_Caudoviricetes
SAMN16587835_p2,novel_order_28_of_Caudoviricetes,novel_family_0_of_novel_order_28_of_Caudoviricetes
SAMN17298286_p1,novel_order_28_of_Caudoviricetes,novel_family_0_of_novel_order_28_of_Caudoviricetes
SAMN26742818_p2,novel_order_28_of_Caudoviricetes,novel_family_0_of_novel_order_28_of_Caudoviricetes
SAMN30916801_p1,novel_order_28_of_Caudoviricetes,novel_family_0_of_novel_order_28_of_Caudoviricetes
SAMN37256235_p1,novel_order_28_of_Caudoviricetes,novel_family_0_of_novel_order_28_of_Caudoviricetes
SAMN41809259_p1,novel_order_28_of_Caudoviricetes,novel_family_0_of_novel_order_28_of_Caudoviricetes
SAMN44841005_p2,novel_order_28_of_Caudoviricetes,novel_family_0_of_novel_order_28_of_Caudoviricetes
SAMEA120785988_p1,novel_order_28_of_Caudoviricetes,novel_family_0_of_novel_order_28_of_Caudoviricetes
SAMN03104885_p2,novel_order_28_of_Caudoviricetes,novel_family_0_of_novel_order_28_of_Caudoviricetes
SAMN06196908_p1,novel_order_28_of_Caudoviricetes,novel_family_0_of_novel_order_28_of_Caudoviricetes
SAMN10334306_p3,novel_order_28_of_Caudoviricetes,novel_family_0_of_novel_order_28_of_Caudoviricetes
SAMN10360552_p2,novel_order_28_of_Caudoviricetes,novel_family_0_of_novel_order_28_of_Caudoviricetes
SAMN12648317_p2,novel_order_28_of_Caudoviricetes,novel_family_0_of_novel_order_28_of_Caudoviricetes
SAMN13500477_p1,novel_order_28_of_Caudoviricetes,novel_family_0_of_novel_order_28_of_Caudoviricetes
SAMN13704149_p1,novel_order_28_of_Caudoviricetes,novel_family_0_of_novel_order_28_of_Caudoviricetes
SAMN36689564_p1,novel_order_28_of_Caudoviricetes,novel_family_0_of_novel_order_28_of_Caudoviricetes
SAMN40032386_p1,novel_order_28_of_Caudoviricetes,novel_family_0_of_novel_order_28_of_Caudoviricetes
SAMN40160511_p1,novel_order_28_of_Caudoviricetes,novel_family_0_of_novel_order_28_of_Caudoviricetes
SAMN52950331_p1,novel_order_28_of_Caudoviricetes,novel_family_0_of_novel_order_28_of_Caudoviricetes
SAMN52950333_p1,novel_order_28_of_Caudoviricetes,novel_family_0_of_novel_order_28_of_Caudoviricetes
SAMN56417361_p3,novel_order_28_of_Caudoviricetes,novel_family_0_of_novel_order_28_of_Caudoviricetes
SAMN13500487_p2,novel_order_28_of_Caudoviricetes,novel_family_1_of_novel_order_28_of_Caudoviricetes
SAMN34999117_p1,novel_order_28_of_Caudoviricetes,novel_family_1_of_novel_order_28_of_Caudoviricetes
SAMN40571795_p2,novel_order_28_of_Caudoviricetes,novel_family_1_of_novel_order_28_of_Caudoviricetes
SAMEA12312942_p1,novel_order_29_of_Caudoviricetes,novel_family_0_of_novel_order_29_of_Caudoviricetes
SAMN03799830_p2,novel_order_29_of_Caudoviricetes,novel_family_0_of_novel_order_29_of_Caudoviricetes
SAMN21365011_p4,novel_order_29_of_Caudoviricetes,novel_family_0_of_novel_order_29_of_Caudoviricetes
SAMN29790272_p5,novel_order_29_of_Caudoviricetes,novel_family_0_of_novel_order_29_of_Caudoviricetes
SAMN29790273_p3,novel_order_29_of_Caudoviricetes,novel_family_0_of_novel_order_29_of_Caudoviricetes
SAMN39716331_p2,novel_order_29_of_Caudoviricetes,novel_family_0_of_novel_order_29_of_Caudoviricetes
SAMN42940231_p5,novel_order_29_of_Caudoviricetes,novel_family_0_of_novel_order_29_of_Caudoviricetes
SAMN47436111_p2,novel_order_29_of_Caudoviricetes,novel_family_0_of_novel_order_29_of_Caudoviricetes
SAMN47436124_p2,novel_order_29_of_Caudoviricetes,novel_family_0_of_novel_order_29_of_Caudoviricetes
SAMN53258651_p1,novel_order_29_of_Caudoviricetes,novel_family_0_of_novel_order_29_of_Caudoviricetes
SAMN05418248_p1,novel_order_29_of_Caudoviricetes,novel_family_0_of_novel_order_29_of_Caudoviricetes
SAMN10362060_p1,novel_order_29_of_Caudoviricetes,novel_family_0_of_novel_order_29_of_Caudoviricetes
SAMN03996257_p1,novel_order_29_of_Caudoviricetes,novel_family_0_of_novel_order_29_of_Caudoviricetes
SAMN17225554_p5,novel_order_29_of_Caudoviricetes,novel_family_0_of_novel_order_29_of_Caudoviricetes
SAMN24777698_p3,novel_order_29_of_Caudoviricetes,novel_family_0_of_novel_order_29_of_Caudoviricetes
SAMN02741367_p3,novel_order_29_of_Caudoviricetes,novel_family_0_of_novel_order_29_of_Caudoviricetes
SAMN02741374_p2,novel_order_29_of_Caudoviricetes,novel_family_0_of_novel_order_29_of_Caudoviricetes
SAMN03945150_p3,novel_order_29_of_Caudoviricetes,novel_family_0_of_novel_order_29_of_Caudoviricetes
SAMN07337898_p1,novel_order_29_of_Caudoviricetes,novel_family_0_of_novel_order_29_of_Caudoviricetes
SAMN07337994_p3,novel_order_29_of_Caudoviricetes,novel_family_0_of_novel_order_29_of_Caudoviricetes
SAMN07338013_p1,novel_order_29_of_Caudoviricetes,novel_family_0_of_novel_order_29_of_Caudoviricetes
SAMN12648303_p2,novel_order_29_of_Caudoviricetes,novel_family_0_of_novel_order_29_of_Caudoviricetes
