vOTU	holin	endolysin	Rz-like spanin	lysis determining protein
SAMN32406750_p2	1	1	1	0
SAMN32411288_p1	1	1	1	0
SAMN33268487_p1	1	1	1	0
SAMN33268487_p3	1	1	1	0
SAMN33423629_p1	1	1	1	0
SAMN33423629_p2	1	1	1	0
SAMN34315296_p2	1	1	1	0
SAMN34999117_p1	1	1	1	0
SAMN35298026_p2	1	1	1	0
SAMN35555508_p1	1	1	1	0
SAMN35555508_p2	1	1	1	0
SAMN35557954_p1	1	1	1	0
SAMN35628445_p1	1	1	1	0
SAMN36689559_p3	1	1	1	0
SAMN36689567_p2	1	1	1	0
SAMN36689570_p5	1	1	1	0
SAMN37977892_p1	1	1	1	0
SAMN38476522_p1	1	1	1	0
SAMN38494069_p2	1	1	1	0
SAMN38736038_p1	1	1	1	0
SAMN38736038_p3	1	1	1	0
SAMN39525491_p1	1	1	1	0
SAMN40160499_p1	1	1	1	0
SAMN40160521_p2	1	1	1	0
SAMN40453154_p1	1	1	1	0
SAMN40453155_p1	1	1	1	0
SAMN40560757_p3	1	1	1	0
SAMN40560757_p4	1	1	1	0
SAMN40561775_p1	1	1	1	0
SAMN40566114_p1	1	1	1	0
SAMN40571708_p2	1	1	1	0
SAMN40571795_p3	1	1	1	0
SAMN40571797_p2	1	1	1	0
SAMN40571798_p2	1	1	1	0
SAMN40573640_p3	1	1	1	0
SAMN40573830_p4	1	1	1	0
SAMN40574011_p2	1	1	1	0
SAMN40574063_p1	1	1	1	0
SAMN40575456_p1	1	1	1	0
SAMN40584489_p1	1	1	1	0
SAMN40584504_p3	1	1	1	0
SAMN40604354_p2	1	1	1	0
SAMN40627813_p1	1	1	1	0
SAMN40717405_p1	1	1	1	0
SAMN40717412_p2	1	1	1	0
SAMN40891661_p2	1	1	1	0
SAMN41079253_p1	1	1	1	0
SAMN41254067_p4	1	1	1	0
SAMN41254075_p5	1	1	1	0
SAMN41809262_p2	1	1	1	0
SAMN41809272_p2	1	1	1	0
SAMN41905141_p1	1	1	1	0
SAMN42940264_p2	1	1	1	0
SAMN42940265_p3	1	1	1	0
SAMN42940266_p2	1	1	1	0
SAMN43405762_p2	1	1	1	0
SAMN43405767_p4	1	1	1	0
SAMN44286666_p2	1	1	1	0
SAMN44286688_p1	1	1	1	0
SAMN44731497_p1	1	1	1	0
SAMN44841005_p1	1	1	1	0
SAMN45047349_p1	1	1	1	0
SAMN45842236_p1	1	1	1	0
SAMN46862179_p1	1	1	1	0
SAMN46862179_p2	1	1	1	0
SAMN47871284_p2	1	1	1	0
SAMN47931905_p1	1	1	1	0
SAMN48586870_p2	1	1	1	0
SAMN48586871_p5	1	1	1	0
SAMN48586876_p2	1	1	1	0
SAMN48586876_p3	1	1	1	0
SAMN48586876_p4	1	1	1	0
SAMN48586877_p1	1	1	1	0
SAMN48588020_p1	1	1	1	0
SAMN48588026_p3	1	1	1	0
SAMN48588238_p2	1	1	1	0
SAMN49797544_p3	1	1	1	0
SAMN49797556_p1	1	1	1	0
SAMN50800672_p2	1	1	1	0
SAMN50800681_p2	1	1	1	0
SAMN51861954_p1	1	1	1	0
SAMN52650543_p2	1	1	1	0
SAMN53475254_p2	1	1	1	0
SAMN53840721_p2	1	1	1	0
SAMN53906729_p2	1	1	1	0
SAMN53906732_p2	1	1	1	0
SAMN53906733_p2	1	1	1	0
SAMN54210353_p3	1	1	1	0
SAMN54210353_p4	1	1	1	0
SAMN55333177_p3	1	1	1	0
SAMN55333177_p4	1	1	1	0
SAMN56681712_p1	1	1	1	0
SAMN56917246_p3	1	1	1	0
SAMN56917247_p1	1	1	1	0
SAMN05418122_p1	0	0	1	0
SAMN14752703_p6	0	0	1	0
SAMN33237140_p2	0	0	1	0
SAMD00019138_p1	0	1	1	0
SAMD00428689_p1	0	1	1	0
SAMEA115017869_p2	0	1	1	0
SAMEA120785988_p2	0	1	1	0
SAMEA2594004_p1	0	1	1	0
SAMN02435867_p5	0	1	1	0
SAMN02470293_p4	0	1	1	0
SAMN02603960_p1	0	1	1	0
SAMN03178171_p4	0	1	1	0
SAMN04256437_p2	0	1	1	0
SAMN05172613_p1	0	1	1	0
SAMN05418054_p2	0	1	1	0
SAMN05418135_p2	0	1	1	0
SAMN05418219_p1	0	1	1	0
SAMN05418222_p2	0	1	1	0
SAMN05768151_p3	0	1	1	0
SAMN07350496_p1	0	1	1	0
SAMN07367890_p1	0	1	1	0
SAMN08329233_p1	0	1	1	0
SAMN09386766_p3	0	1	1	0
SAMN10963736_p4	0	1	1	0
SAMN11522370_p1	0	1	1	0
SAMN12057821_p1	0	1	1	0
SAMN12057824_p1	0	1	1	0
SAMN12668361_p2	0	1	1	0
SAMN13023392_p2	0	1	1	0
SAMN13023393_p3	0	1	1	0
SAMN13404277_p1	0	1	1	0
SAMN13404287_p1	0	1	1	0
SAMN13747351_p3	0	1	1	0
SAMN14214611_p2	0	1	1	0
SAMN15646506_p4	0	1	1	0
SAMN15646532_p2	0	1	1	0
SAMN17384693_p2	0	1	1	0
SAMN19957702_p2	0	1	1	0
SAMN24372623_p2	0	1	1	0
SAMN24593137_p1	0	1	1	0
SAMN24593227_p4	0	1	1	0
SAMN30916803_p2	0	1	1	0
SAMN32406564_p1	0	1	1	0
SAMN32406741_p1	0	1	1	0
SAMN32407619_p2	0	1	1	0
SAMN36689554_p3	0	1	1	0
SAMN38476540_p1	0	1	1	0
SAMN39715769_p4	0	1	1	0
SAMN40160518_p1	0	1	1	0
SAMN40453158_p1	0	1	1	0
SAMN42622379_p1	0	1	1	0
SAMN44286414_p2	0	1	1	0
SAMN44286691_p2	0	1	1	0
SAMN47436111_p1	0	1	1	0
SAMN51861946_p1	0	1	1	0
SAMN52950338_p1	0	1	1	0
SAMN18253121_p2	1	0	0	1
SAMN48588251_p2	1	0	0	1
SAMN52650543_p1	1	0	0	1
SAMN04296643_p2	1	0	0	0
SAMN05418248_p1	1	0	0	0
SAMN07739070_p1	1	0	0	0
SAMN10362060_p1	1	0	0	0
SAMN15763356_p1	1	0	0	0
SAMN16268016_p1	1	0	0	0
SAMN20804979_p1	1	0	0	0
SAMN28767274_p1	1	0	0	0
SAMN30916803_p1	1	0	0	0
SAMN40604357_p1	1	0	0	0
SAMN03799837_p2	1	1	0	1
SAMN04320555_p1	1	1	0	1
SAMN05195240_p1	1	1	0	1
SAMN12364842_p2	1	1	0	1
SAMN12838353_p1	1	1	0	1
SAMN13023390_p1	1	1	0	1
SAMN15206675_p2	1	1	0	1
SAMN15667311_p1	1	1	0	1
SAMN18253121_p4	1	1	0	1
SAMN18298701_p1	1	1	0	1
SAMN20805040_p1	1	1	0	1
SAMN28494991_p2	1	1	0	1
SAMN28495005_p3	1	1	0	1
SAMN28495009_p1	1	1	0	1
SAMN28495016_p2	1	1	0	1
SAMN28495021_p3	1	1	0	1
SAMN28495048_p1	1	1	0	1
SAMN28495052_p3	1	1	0	1
SAMN28495053_p2	1	1	0	1
SAMN28767221_p8	1	1	0	1
SAMN28767225_p2	1	1	0	1
SAMN28767247_p2	1	1	0	1
SAMN28767276_p4	1	1	0	1
SAMN29333275_p1	1	1	0	1
SAMN31656032_p1	1	1	0	1
SAMN35557946_p2	1	1	0	1
SAMN39606344_p2	1	1	0	1
SAMN39962933_p1	1	1	0	1
SAMN40571800_p1	1	1	0	1
SAMN40584213_p1	1	1	0	1
SAMN40584504_p1	1	1	0	1
SAMN40584520_p1	1	1	0	1
SAMN40717396_p1	1	1	0	1
SAMN40717398_p1	1	1	0	1
SAMN40891653_p1	1	1	0	1
SAMN48881381_p1	1	1	0	1
SAMN54210352_p1	1	1	0	1
SAMD00323053_p2	1	1	0	0
SAMEA120785982_p1	1	1	0	0
SAMEA3643325_p1	1	1	0	0
SAMEA4673371_p2	1	1	0	0
SAMEA7061698_p1	1	1	0	0
SAMN00265075_p1	1	1	0	0
SAMN02435867_p4	1	1	0	0
SAMN02435869_p2	1	1	0	0
SAMN02603666_p2	1	1	0	0
SAMN03571538_p1	1	1	0	0
SAMN05860636_p2	1	1	0	0
SAMN06198342_p1	1	1	0	0
SAMN06198347_p1	1	1	0	0
SAMN07338223_p1	1	1	0	0
SAMN07350489_p2	1	1	0	0
SAMN08982477_p2	1	1	0	0
SAMN08982483_p2	1	1	0	0
SAMN10360549_p1	1	1	0	0
SAMN10970912_p1	1	1	0	0
SAMN12057800_p1	1	1	0	0
SAMN12057805_p2	1	1	0	0
SAMN12057814_p1	1	1	0	0
SAMN12057860_p2	1	1	0	0
SAMN12057873_p2	1	1	0	0
SAMN12057875_p1	1	1	0	0
SAMN12057884_p1	1	1	0	0
SAMN12168580_p1	1	1	0	0
SAMN12168584_p1	1	1	0	0
SAMN12168619_p1	1	1	0	0
SAMN12169088_p1	1	1	0	0
SAMN12639444_p1	1	1	0	0
SAMN12648317_p3	1	1	0	0
SAMN13404287_p2	1	1	0	0
SAMN13704165_p3	1	1	0	0
SAMN13878423_p2	1	1	0	0
SAMN14081013_p2	1	1	0	0
SAMN14214611_p3	1	1	0	0
SAMN14944058_p2	1	1	0	0
SAMN15646505_p2	1	1	0	0
SAMN16072611_p1	1	1	0	0
SAMN18298695_p2	1	1	0	0
SAMN18961237_p2	1	1	0	0
SAMN20805065_p2	1	1	0	0
SAMN28495055_p3	1	1	0	0
SAMN29328604_p3	1	1	0	0
SAMN30916812_p4	1	1	0	0
SAMN31656026_p1	1	1	0	0
SAMN33396490_p1	1	1	0	0
SAMN36294848_p1	1	1	0	0
SAMN36689551_p1	1	1	0	0
SAMN36689567_p1	1	1	0	0
SAMN36689568_p2	1	1	0	0
SAMN36689569_p1	1	1	0	0
SAMN37977894_p1	1	1	0	0
SAMN38476534_p1	1	1	0	0
SAMN38476540_p3	1	1	0	0
SAMN39200978_p1	1	1	0	0
SAMN39832059_p1	1	1	0	0
SAMN39959875_p2	1	1	0	0
SAMN40160501_p2	1	1	0	0
SAMN40160521_p1	1	1	0	0
SAMN40160523_p1	1	1	0	0
SAMN40575477_p1	1	1	0	0
SAMN40584261_p2	1	1	0	0
SAMN40604318_p1	1	1	0	0
SAMN40627811_p1	1	1	0	0
SAMN41809252_p3	1	1	0	0
SAMN42500393_p2	1	1	0	0
SAMN49797553_p1	1	1	0	0
SAMN50800672_p1	1	1	0	0
SAMN53317748_p1	1	1	0	0
SAMN53840719_p3	1	1	0	0
SAMN54286609_p2	1	1	0	0
SAMN55338813_p1	1	1	0	0
SAMN56681726_p1	1	1	0	0
SAMD00019137_p1	0	1	0	0
SAMD00046905_p2	0	1	0	0
SAMD00428684_p1	0	1	0	0
SAMD00428687_p2	0	1	0	0
SAMD00553063_p2	0	1	0	0
SAMEA112157104_p2	0	1	0	0
SAMEA112157105_p2	0	1	0	0
SAMEA115015365_p2	0	1	0	0
SAMEA115018341_p2	0	1	0	0
SAMEA115018493_p5	0	1	0	0
SAMEA115018757_p1	0	1	0	0
SAMEA117660431_p4	0	1	0	0
SAMEA120785988_p1	0	1	0	0
SAMEA12312942_p1	0	1	0	0
SAMEA4530654_p1	0	1	0	0
SAMEA8103015_p1	0	1	0	0
SAMN02304133_p1	0	1	0	0
SAMN02368290_p1	0	1	0	0
SAMN02368294_p1	0	1	0	0
SAMN02393808_p2	0	1	0	0
SAMN02470293_p3	0	1	0	0
SAMN02470294_p1	0	1	0	0
SAMN02604302_p1	0	1	0	0
SAMN02741367_p3	0	1	0	0
SAMN02741374_p2	0	1	0	0
SAMN02741392_p3	0	1	0	0
SAMN02912085_p1	0	1	0	0
SAMN02912086_p1	0	1	0	0
SAMN02940923_p1	0	1	0	0
SAMN03195675_p3	0	1	0	0
SAMN03457164_p3	0	1	0	0
SAMN03470190_p2	0	1	0	0
SAMN03571538_p2	0	1	0	0
SAMN03799830_p2	0	1	0	0
SAMN03945150_p3	0	1	0	0
SAMN03996257_p1	0	1	0	0
SAMN03996261_p2	0	1	0	0
SAMN03996261_p3	0	1	0	0
SAMN04128477_p1	0	1	0	0
SAMN04221167_p1	0	1	0	0
SAMN04320555_p2	0	1	0	0
SAMN04358136_p3	0	1	0	0
SAMN05271497_p1	0	1	0	0
SAMN05302750_p3	0	1	0	0
SAMN05356867_p2	0	1	0	0
SAMN05417997_p1	0	1	0	0
SAMN05418030_p3	0	1	0	0
SAMN05418054_p1	0	1	0	0
SAMN05418078_p2	0	1	0	0
SAMN05418079_p3	0	1	0	0
SAMN05418117_p2	0	1	0	0
SAMN05418134_p1	0	1	0	0
SAMN05418134_p2	0	1	0	0
SAMN05418137_p1	0	1	0	0
SAMN05418137_p3	0	1	0	0
SAMN05418149_p1	0	1	0	0
SAMN05418176_p1	0	1	0	0
SAMN06013679_p1	0	1	0	0
SAMN06066420_p2	0	1	0	0
SAMN06076929_p1	0	1	0	0
SAMN06158907_p1	0	1	0	0
SAMN06209376_p2	0	1	0	0
SAMN06909310_p2	0	1	0	0
SAMN07337898_p1	0	1	0	0
SAMN07337992_p1	0	1	0	0
SAMN07337994_p3	0	1	0	0
SAMN07338013_p1	0	1	0	0
SAMN07338022_p2	0	1	0	0
SAMN07338087_p1	0	1	0	0
SAMN07350482_p1	0	1	0	0
SAMN08741621_p1	0	1	0	0
SAMN08810063_p1	0	1	0	0
SAMN09208625_p2	0	1	0	0
SAMN09355280_p1	0	1	0	0
SAMN09386758_p1	0	1	0	0
SAMN09737247_p1	0	1	0	0
SAMN09874178_p3	0	1	0	0
SAMN09878947_p3	0	1	0	0
SAMN10334306_p3	0	1	0	0
SAMN10334306_p4	0	1	0	0
SAMN10362060_p2	0	1	0	0
SAMN10362337_p1	0	1	0	0
SAMN10436686_p1	0	1	0	0
SAMN10702681_p2	0	1	0	0
SAMN11522363_p3	0	1	0	0
SAMN11522367_p1	0	1	0	0
SAMN12057836_p2	0	1	0	0
SAMN12057860_p1	0	1	0	0
SAMN12168603_p1	0	1	0	0
SAMN12364847_p3	0	1	0	0
SAMN12404565_p3	0	1	0	0
SAMN12645948_p1	0	1	0	0
SAMN12648259_p2	0	1	0	0
SAMN12648261_p1	0	1	0	0
SAMN12648275_p2	0	1	0	0
SAMN12648281_p1	0	1	0	0
SAMN12648294_p3	0	1	0	0
SAMN12648297_p3	0	1	0	0
SAMN12648303_p2	0	1	0	0
SAMN12648305_p2	0	1	0	0
SAMN12668376_p2	0	1	0	0
SAMN12668377_p3	0	1	0	0
SAMN12668380_p1	0	1	0	0
SAMN12668394_p11	0	1	0	0
SAMN12668394_p2	0	1	0	0
SAMN12668404_p1	0	1	0	0
SAMN13023390_p4	0	1	0	0
SAMN13336162_p1	0	1	0	0
SAMN13404284_p1	0	1	0	0
SAMN13500477_p1	0	1	0	0
SAMN13704164_p2	0	1	0	0
SAMN13706805_p1	0	1	0	0
SAMN13706869_p1	0	1	0	0
SAMN13747351_p4	0	1	0	0
SAMN14081013_p3	0	1	0	0
SAMN14087148_p1	0	1	0	0
SAMN14307063_p1	0	1	0	0
SAMN14533309_p1	0	1	0	0
SAMN14533316_p1	0	1	0	0
SAMN14852540_p2	0	1	0	0
SAMN14968934_p1	0	1	0	0
SAMN15597496_p1	0	1	0	0
SAMN15597501_p1	0	1	0	0
SAMN15763358_p1	0	1	0	0
SAMN15763361_p3	0	1	0	0
SAMN16587835_p2	0	1	0	0
SAMN17188296_p1	0	1	0	0
SAMN17225554_p5	0	1	0	0
SAMN17298298_p1	0	1	0	0
SAMN18298705_p1	0	1	0	0
SAMN18298707_p2	0	1	0	0
SAMN18298723_p3	0	1	0	0
SAMN18332103_p2	0	1	0	0
SAMN20804975_p3	0	1	0	0
SAMN20805043_p3	0	1	0	0
SAMN20805048_p1	0	1	0	0
SAMN20805055_p1	0	1	0	0
SAMN20805065_p3	0	1	0	0
SAMN21365011_p4	0	1	0	0
SAMN21399768_p4	0	1	0	0
SAMN22211694_p2	0	1	0	0
SAMN22346944_p1	0	1	0	0
SAMN22513949_p2	0	1	0	0
SAMN24593137_p3	0	1	0	0
SAMN24593211_p2	0	1	0	0
SAMN24593212_p4	0	1	0	0
SAMN24593214_p4	0	1	0	0
SAMN24593214_p5	0	1	0	0
SAMN24593215_p1	0	1	0	0
SAMN24593215_p2	0	1	0	0
SAMN24593218_p3	0	1	0	0
SAMN24593223_p2	0	1	0	0
SAMN24777698_p3	0	1	0	0
SAMN24907452_p4	0	1	0	0
SAMN24907460_p5	0	1	0	0
SAMN25050340_p2	0	1	0	0
SAMN26741402_p1	0	1	0	0
SAMN26982636_p1	0	1	0	0
SAMN28495021_p1	0	1	0	0
SAMN28511831_p1	0	1	0	0
SAMN28672590_p1	0	1	0	0
SAMN28767226_p2	0	1	0	0
SAMN28767271_p4	0	1	0	0
SAMN28767274_p2	0	1	0	0
SAMN28767294_p3	0	1	0	0
SAMN28767317_p2	0	1	0	0
SAMN28767342_p3	0	1	0	0
SAMN29395242_p3	0	1	0	0
SAMN29790235_p3	0	1	0	0
SAMN29790269_p2	0	1	0	0
SAMN29790272_p2	0	1	0	0
SAMN29790272_p3	0	1	0	0
SAMN29790272_p4	0	1	0	0
SAMN29790272_p5	0	1	0	0
SAMN29790273_p3	0	1	0	0
SAMN30418558_p1	0	1	0	0
SAMN31656011_p1	0	1	0	0
SAMN31656012_p3	0	1	0	0
SAMN32300845_p2	0	1	0	0
SAMN32300851_p2	0	1	0	0
SAMN32400338_p1	0	1	0	0
SAMN32406232_p1	0	1	0	0
SAMN32407627_p1	0	1	0	0
SAMN32407638_p1	0	1	0	0
SAMN32407788_p1	0	1	0	0
SAMN32755641_p2	0	1	0	0
SAMN33268487_p2	0	1	0	0
SAMN33330965_p2	0	1	0	0
SAMN33774569_p1	0	1	0	0
SAMN35346012_p2	0	1	0	0
SAMN35555507_p1	0	1	0	0
SAMN37260050_p3	0	1	0	0
SAMN37830366_p1	0	1	0	0
SAMN38736038_p2	0	1	0	0
SAMN39105730_p2	0	1	0	0
SAMN39606781_p1	0	1	0	0
SAMN39716327_p2	0	1	0	0
SAMN39716331_p1	0	1	0	0
SAMN39716331_p2	0	1	0	0
SAMN39783949_p3	0	1	0	0
SAMN39832058_p1	0	1	0	0
SAMN40032386_p1	0	1	0	0
SAMN40198115_p1	0	1	0	0
SAMN40232154_p1	0	1	0	0
SAMN40566047_p2	0	1	0	0
SAMN40571795_p2	0	1	0	0
SAMN40571841_p2	0	1	0	0
SAMN40643599_p2	0	1	0	0
SAMN40891646_p1	0	1	0	0
SAMN41000926_p1	0	1	0	0
SAMN41079251_p2	0	1	0	0
SAMN41107815_p2	0	1	0	0
SAMN41809259_p1	0	1	0	0
SAMN41842413_p3	0	1	0	0
SAMN41920669_p2	0	1	0	0
SAMN41920674_p6	0	1	0	0
SAMN41920687_p1	0	1	0	0
SAMN42149892_p1	0	1	0	0
SAMN42149898_p2	0	1	0	0
SAMN42940231_p5	0	1	0	0
SAMN42940244_p1	0	1	0	0
SAMN43405766_p1	0	1	0	0
SAMN44771342_p1	0	1	0	0
SAMN44841005_p2	0	1	0	0
SAMN45842239_p2	0	1	0	0
SAMN45864672_p1	0	1	0	0
SAMN45864672_p2	0	1	0	0
SAMN47436111_p2	0	1	0	0
SAMN47436122_p1	0	1	0	0
SAMN47436124_p2	0	1	0	0
SAMN48586870_p1	0	1	0	0
SAMN48586871_p2	0	1	0	0
SAMN48586871_p4	0	1	0	0
SAMN48586872_p1	0	1	0	0
SAMN48586875_p2	0	1	0	0
SAMN48586876_p5	0	1	0	0
SAMN50434722_p1	0	1	0	0
SAMN50800673_p1	0	1	0	0
SAMN50800691_p1	0	1	0	0
SAMN52950332_p3	0	1	0	0
SAMN53258651_p1	0	1	0	0
SAMN53317749_p1	0	1	0	0
SAMN53840714_p1	0	1	0	0
SAMN53840715_p2	0	1	0	0
SAMN53840719_p4	0	1	0	0
SAMN53840730_p1	0	1	0	0
SAMN55333167_p1	0	1	0	0
SAMN55333169_p2	0	1	0	0
SAMN55846946_p3	0	1	0	0
SAMN55846947_p1	0	1	0	0
SAMN56917198_p2	0	1	0	0
