gene	start	stop	strand	contig	score	mmseqs_phrog	mmseqs_alnScore	mmseqs_seqIdentity	mmseqs_eVal	pyhmmer_phrog	pyhmmer_bitscore	pyhmmer_evalue	custom_hmm_id	custom_hmm_bitscore	custom_hmm_evalue	phrog	Method	Region	color	annot	category	vfdb_hit	vfdb_alnScore	vfdb_seqIdentity	vfdb_eVal	vfdb_short_name	vfdb_description	vfdb_species	CARD_hit	CARD_alnScore	CARD_seqIdentity	CARD_eVal	CARD_species	ARO_Accession	CARD_short_name	Protein_Accession	DNA_Accession	AMR_Gene_Family	Drug_Class	Resistance_Mechanism	transl_table
SWXXHVXO_CDS_0014	12372	11905	-	SAMEA115017710_p3	-237.4638	No_MMseqs	No_MMseqs	No_MMseqs	No_MMseqs	5	83.292091	4.56374043607241E-23	No_custom_HMM	No_custom_HMM	No_custom_HMM	5	ab initio prediction:PHANOTATE:1.6.7	CDS	#35d7ff	tail completion or Neck1 protein	connector	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
SWXXHVXO_CDS_0015	12749	12375	-	SAMEA115017710_p3	-162.4611	No_MMseqs	No_MMseqs	No_MMseqs	No_MMseqs	25	60.92075	3.77557246344576E-16	No_custom_HMM	No_custom_HMM	No_custom_HMM	25	ab initio prediction:PHANOTATE:1.6.7	CDS	#35d7ff	head closure Hc1	connector	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
SWXXHVXO_CDS_0016	13024	12737	-	SAMEA115017710_p3	-97.3324	No_MMseqs	No_MMseqs	No_MMseqs	No_MMseqs	40	66.294807	4.84282209193285E-18	No_custom_HMM	No_custom_HMM	No_custom_HMM	40	ab initio prediction:PHANOTATE:1.6.7	CDS	#35d7ff	head-tail adaptor Ad1	connector	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
LFPZTEXO_CDS_0015	9052	8399	-	SAMEA115018381_p2	-1847.725	No_MMseqs	No_MMseqs	No_MMseqs	No_MMseqs	26	64.902908	1.64706454087458E-17	No_custom_HMM	No_custom_HMM	No_custom_HMM	26	ab initio prediction:PHANOTATE:1.6.7	CDS	#35d7ff	tail completion or Neck1 protein	connector	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
LFPZTEXO_CDS_0016	9527	9042	-	SAMEA115018381_p2	-318.7399	No_MMseqs	No_MMseqs	No_MMseqs	No_MMseqs	65	99.133606	4.03150384701785E-28	No_custom_HMM	No_custom_HMM	No_custom_HMM	65	ab initio prediction:PHANOTATE:1.6.7	CDS	#35d7ff	tail terminator	connector	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
LFPZTEXO_CDS_0017	9943	9524	-	SAMEA115018381_p2	-35.74858	No_MMseqs	No_MMseqs	No_MMseqs	No_MMseqs	71	89.601715	3.64740800573195E-25	No_custom_HMM	No_custom_HMM	No_custom_HMM	71	ab initio prediction:PHANOTATE:1.6.7	CDS	#35d7ff	head-tail adaptor Ad1	connector	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
WUDMGMVH_CDS_0014	16104	15676	-	SAMEA115018757_p1	-315.148	No_MMseqs	No_MMseqs	No_MMseqs	No_MMseqs	195	157.958923	7.8723502288727E-46	No_custom_HMM	No_custom_HMM	No_custom_HMM	195	ab initio prediction:PHANOTATE:1.6.7	CDS	#35d7ff	head-tail adaptor	connector	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
WUDMGMVH_CDS_0020	20967	20506	-	SAMEA115018757_p1	-814.0766	No_MMseqs	No_MMseqs	No_MMseqs	No_MMseqs	26	117.553886	1.56077669897183E-33	No_custom_HMM	No_custom_HMM	No_custom_HMM	26	ab initio prediction:PHANOTATE:1.6.7	CDS	#35d7ff	tail completion or Neck1 protein	connector	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
YKEIKFZG_CDS_0022	15569	14910	-	SAMEA117551943_p1	-1106.152	No_MMseqs	No_MMseqs	No_MMseqs	No_MMseqs	26	77.86734	1.86732987877509E-21	No_custom_HMM	No_custom_HMM	No_custom_HMM	26	ab initio prediction:PHANOTATE:1.6.7	CDS	#35d7ff	tail completion or Neck1 protein	connector	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
YKEIKFZG_CDS_0023	16050	15562	-	SAMEA117551943_p1	-5952.8	No_MMseqs	No_MMseqs	No_MMseqs	No_MMseqs	65	82.083694	7.10576227100487E-23	No_custom_HMM	No_custom_HMM	No_custom_HMM	65	ab initio prediction:PHANOTATE:1.6.7	CDS	#35d7ff	tail terminator	connector	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
YKEIKFZG_CDS_0024	16526	16062	-	SAMEA117551943_p1	-413.3551	No_MMseqs	No_MMseqs	No_MMseqs	No_MMseqs	71	146.283218	1.31449294174143E-42	No_custom_HMM	No_custom_HMM	No_custom_HMM	71	ab initio prediction:PHANOTATE:1.6.7	CDS	#35d7ff	head-tail adaptor Ad1	connector	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
DXPNEEKQ_CDS_0033	16668	16141	-	SAMEA12312942_p1	-1162.232	No_MMseqs	No_MMseqs	No_MMseqs	No_MMseqs	222	27.410124	4.86589695333501E-06	No_custom_HMM	No_custom_HMM	No_custom_HMM	222	ab initio prediction:PHANOTATE:1.6.7	CDS	#35d7ff	tail completion or Neck1 protein	connector	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
SJSJTEEQ_CDS_0029	17140	17559	+	SAMEA12312943_p1	-79.33552	No_MMseqs	No_MMseqs	No_MMseqs	No_MMseqs	71	88.206787	9.80078734789387E-25	No_custom_HMM	No_custom_HMM	No_custom_HMM	71	ab initio prediction:PHANOTATE:1.6.7	CDS	#35d7ff	head-tail adaptor Ad1	connector	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
SJSJTEEQ_CDS_0030	17556	18050	+	SAMEA12312943_p1	-1684.025	No_MMseqs	No_MMseqs	No_MMseqs	No_MMseqs	65	94.237366	1.29421792780467E-26	No_custom_HMM	No_custom_HMM	No_custom_HMM	65	ab initio prediction:PHANOTATE:1.6.7	CDS	#35d7ff	tail terminator	connector	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
SJSJTEEQ_CDS_0031	18076	18690	+	SAMEA12312943_p1	-2565.822	No_MMseqs	No_MMseqs	No_MMseqs	No_MMseqs	26	59.67569	6.4197743107199E-16	No_custom_HMM	No_custom_HMM	No_custom_HMM	26	ab initio prediction:PHANOTATE:1.6.7	CDS	#35d7ff	tail completion or Neck1 protein	connector	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
FFUQOPXZ_CDS_0024	16931	17350	+	SAMEA8103025_p3	-94.88117	No_MMseqs	No_MMseqs	No_MMseqs	No_MMseqs	71	85.987206	4.72408136337778E-24	No_custom_HMM	No_custom_HMM	No_custom_HMM	71	ab initio prediction:PHANOTATE:1.6.7	CDS	#35d7ff	head-tail adaptor Ad1	connector	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
FFUQOPXZ_CDS_0025	17347	17841	+	SAMEA8103025_p3	-1921.547	No_MMseqs	No_MMseqs	No_MMseqs	No_MMseqs	65	97.146408	1.64783816779376E-27	No_custom_HMM	No_custom_HMM	No_custom_HMM	65	ab initio prediction:PHANOTATE:1.6.7	CDS	#35d7ff	tail terminator	connector	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
FFUQOPXZ_CDS_0026	17825	18481	+	SAMEA8103025_p3	-953.3479	No_MMseqs	No_MMseqs	No_MMseqs	No_MMseqs	26	61.92054	1.33149747414905E-16	No_custom_HMM	No_custom_HMM	No_custom_HMM	26	ab initio prediction:PHANOTATE:1.6.7	CDS	#35d7ff	tail completion or Neck1 protein	connector	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
TBVTMQAY_CDS_0016	12824	12156	-	SAMEA8103032_p3	-15220.09	No_MMseqs	No_MMseqs	No_MMseqs	No_MMseqs	26	60.326031	4.07005489794307E-16	No_custom_HMM	No_custom_HMM	No_custom_HMM	26	ab initio prediction:PHANOTATE:1.6.7	CDS	#35d7ff	tail completion or Neck1 protein	connector	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
TBVTMQAY_CDS_0017	13299	12814	-	SAMEA8103032_p3	-4000.391	No_MMseqs	No_MMseqs	No_MMseqs	No_MMseqs	65	83.124077	3.40010227339674E-23	No_custom_HMM	No_custom_HMM	No_custom_HMM	65	ab initio prediction:PHANOTATE:1.6.7	CDS	#35d7ff	tail terminator	connector	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
TBVTMQAY_CDS_0018	13715	13296	-	SAMEA8103032_p3	-202.9626	No_MMseqs	No_MMseqs	No_MMseqs	No_MMseqs	71	81.349564	1.26331083241464E-22	No_custom_HMM	No_custom_HMM	No_custom_HMM	71	ab initio prediction:PHANOTATE:1.6.7	CDS	#35d7ff	head-tail adaptor Ad1	connector	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
MQWPUQLL_CDS_0038	21045	21506	+	SAMN00989304_p3	-428.8952	No_MMseqs	No_MMseqs	No_MMseqs	No_MMseqs	71	163.644623	5.96954463471986E-48	No_custom_HMM	No_custom_HMM	No_custom_HMM	71	ab initio prediction:PHANOTATE:1.6.7	CDS	#35d7ff	head-tail adaptor Ad1	connector	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
MQWPUQLL_CDS_0039	21503	21985	+	SAMN00989304_p3	-26093.04	No_MMseqs	No_MMseqs	No_MMseqs	No_MMseqs	65	90.980141	1.30086953639161E-25	No_custom_HMM	No_custom_HMM	No_custom_HMM	65	ab initio prediction:PHANOTATE:1.6.7	CDS	#35d7ff	tail terminator	connector	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
MQWPUQLL_CDS_0040	21982	22638	+	SAMN00989304_p3	-514.5039	No_MMseqs	No_MMseqs	No_MMseqs	No_MMseqs	26	71.116646	2.11676360379552E-19	No_custom_HMM	No_custom_HMM	No_custom_HMM	26	ab initio prediction:PHANOTATE:1.6.7	CDS	#35d7ff	tail completion or Neck1 protein	connector	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
RQRYTDSP_CDS_0017	13092	12436	-	SAMN02368280_p2	-821.0007	No_MMseqs	No_MMseqs	No_MMseqs	No_MMseqs	26	60.739742	3.04575288479596E-16	No_custom_HMM	No_custom_HMM	No_custom_HMM	26	ab initio prediction:PHANOTATE:1.6.7	CDS	#35d7ff	tail completion or Neck1 protein	connector	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
RQRYTDSP_CDS_0018	13567	13076	-	SAMN02368280_p2	-1421.853	No_MMseqs	No_MMseqs	No_MMseqs	No_MMseqs	65	94.247482	1.28497479334503E-26	No_custom_HMM	No_custom_HMM	No_custom_HMM	65	ab initio prediction:PHANOTATE:1.6.7	CDS	#35d7ff	tail terminator	connector	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
RQRYTDSP_CDS_0019	13983	13564	-	SAMN02368280_p2	-57.33296	No_MMseqs	No_MMseqs	No_MMseqs	No_MMseqs	71	81.349564	1.26331083241464E-22	No_custom_HMM	No_custom_HMM	No_custom_HMM	71	ab initio prediction:PHANOTATE:1.6.7	CDS	#35d7ff	head-tail adaptor Ad1	connector	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
GHBAXHOK_CDS_0018	12901	12245	-	SAMN02368283_p1	-2796.432	No_MMseqs	No_MMseqs	No_MMseqs	No_MMseqs	26	69.746094	5.53063517750267E-19	No_custom_HMM	No_custom_HMM	No_custom_HMM	26	ab initio prediction:PHANOTATE:1.6.7	CDS	#35d7ff	tail completion or Neck1 protein	connector	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
GHBAXHOK_CDS_0019	13379	12885	-	SAMN02368283_p1	-2242.388	No_MMseqs	No_MMseqs	No_MMseqs	No_MMseqs	65	94.393806	1.15843493193096E-26	No_custom_HMM	No_custom_HMM	No_custom_HMM	65	ab initio prediction:PHANOTATE:1.6.7	CDS	#35d7ff	tail terminator	connector	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
GHBAXHOK_CDS_0020	13795	13376	-	SAMN02368283_p1	-316.3905	No_MMseqs	No_MMseqs	No_MMseqs	No_MMseqs	71	87.899185	1.21877268079361E-24	No_custom_HMM	No_custom_HMM	No_custom_HMM	71	ab initio prediction:PHANOTATE:1.6.7	CDS	#35d7ff	head-tail adaptor Ad1	connector	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
IKELXMHZ_CDS_0017	14554	14012	-	SAMN02368294_p1	-4908.34	No_MMseqs	No_MMseqs	No_MMseqs	No_MMseqs	26	118.915901	6.0094716505936E-34	No_custom_HMM	No_custom_HMM	No_custom_HMM	26	ab initio prediction:PHANOTATE:1.6.7	CDS	#35d7ff	tail completion or Neck1 protein	connector	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
IKELXMHZ_CDS_0018	14988	14554	-	SAMN02368294_p1	-478.0194	No_MMseqs	No_MMseqs	No_MMseqs	No_MMseqs	195	162.955704	2.38892587688168E-47	No_custom_HMM	No_custom_HMM	No_custom_HMM	195	ab initio prediction:PHANOTATE:1.6.7	CDS	#35d7ff	head-tail adaptor	connector	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
GBVGDZCP_CDS_0045	22460	22894	+	SAMN02393808_p2	-856.0097	No_MMseqs	No_MMseqs	No_MMseqs	No_MMseqs	195	165.877167	3.09551177693671E-48	No_custom_HMM	No_custom_HMM	No_custom_HMM	195	ab initio prediction:PHANOTATE:1.6.7	CDS	#35d7ff	head-tail adaptor	connector	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
GBVGDZCP_CDS_0046	22894	23436	+	SAMN02393808_p2	-17521.5	No_MMseqs	No_MMseqs	No_MMseqs	No_MMseqs	26	126.635422	2.68868716537115E-36	No_custom_HMM	No_custom_HMM	No_custom_HMM	26	ab initio prediction:PHANOTATE:1.6.7	CDS	#35d7ff	tail completion or Neck1 protein	connector	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
GRFECFKA_CDS_0027	16023	15364	-	SAMN02393817_p1	-1898.721	No_MMseqs	No_MMseqs	No_MMseqs	No_MMseqs	26	77.737411	2.04532560312734E-21	No_custom_HMM	No_custom_HMM	No_custom_HMM	26	ab initio prediction:PHANOTATE:1.6.7	CDS	#35d7ff	tail completion or Neck1 protein	connector	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
GRFECFKA_CDS_0028	16510	16010	-	SAMN02393817_p1	-2219.523	No_MMseqs	No_MMseqs	No_MMseqs	No_MMseqs	65	88.539261	7.33290602964459E-25	No_custom_HMM	No_custom_HMM	No_custom_HMM	65	ab initio prediction:PHANOTATE:1.6.7	CDS	#35d7ff	tail terminator	connector	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
GRFECFKA_CDS_0029	16968	16507	-	SAMN02393817_p1	-150.0876	No_MMseqs	No_MMseqs	No_MMseqs	No_MMseqs	71	132.354202	2.54266114550408E-38	No_custom_HMM	No_custom_HMM	No_custom_HMM	71	ab initio prediction:PHANOTATE:1.6.7	CDS	#35d7ff	head-tail adaptor Ad1	connector	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
IFCRBFBU_CDS_0036	19624	20151	+	SAMN02435859_p3	-356.9461	No_MMseqs	No_MMseqs	No_MMseqs	No_MMseqs	5774	208.082321	1.45963548120047E-61	No_custom_HMM	No_custom_HMM	No_custom_HMM	5774	ab initio prediction:PHANOTATE:1.6.7	CDS	#35d7ff	head-tail joining	connector	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
IFCRBFBU_CDS_0040	23997	24347	+	SAMN02435859_p3	-139.2543	No_MMseqs	No_MMseqs	No_MMseqs	No_MMseqs	82	78.132408	8.98668440466697E-22	No_custom_HMM	No_custom_HMM	No_custom_HMM	82	ab initio prediction:PHANOTATE:1.6.7	CDS	#35d7ff	head closure Hc1	connector	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
IFCRBFBU_CDS_0041	24310	24915	+	SAMN02435859_p3	-2885.437	No_MMseqs	No_MMseqs	No_MMseqs	No_MMseqs	27	123.581398	1.95518145781261E-35	No_custom_HMM	No_custom_HMM	No_custom_HMM	27	ab initio prediction:PHANOTATE:1.6.7	CDS	#35d7ff	tail completion or Neck1 protein	connector	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
IFCRBFBU_CDS_0050	31119	31634	+	SAMN02435859_p3	-2229.344	No_MMseqs	No_MMseqs	No_MMseqs	No_MMseqs	55	133.981003	9.10210366178822E-39	No_custom_HMM	No_custom_HMM	No_custom_HMM	55	ab initio prediction:PHANOTATE:1.6.7	CDS	#35d7ff	head closure	connector	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
RWEOQFOZ_CDS_0067	29670	31892	+	SAMN02435867_p5	-385554600000000	No_MMseqs	No_MMseqs	No_MMseqs	No_MMseqs	332	130.941818	8.95821970491633E-38	No_custom_HMM	No_custom_HMM	No_custom_HMM	332	ab initio prediction:PHANOTATE:1.6.7	CDS	#35d7ff	head-tail adaptor	connector	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
PZWAVLBE_CDS_0030	17047	17568	+	SAMN02470293_p4	-1153.502	No_MMseqs	No_MMseqs	No_MMseqs	No_MMseqs	5774	206.576065	4.23352297008578E-61	No_custom_HMM	No_custom_HMM	No_custom_HMM	5774	ab initio prediction:PHANOTATE:1.6.7	CDS	#35d7ff	head-tail joining	connector	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
PZWAVLBE_CDS_0034	21165	21503	+	SAMN02470293_p4	-97.32057	No_MMseqs	No_MMseqs	No_MMseqs	No_MMseqs	82	81.929428	5.97667448720621E-23	No_custom_HMM	No_custom_HMM	No_custom_HMM	82	ab initio prediction:PHANOTATE:1.6.7	CDS	#35d7ff	head closure Hc1	connector	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
PZWAVLBE_CDS_0035	21466	22083	+	SAMN02470293_p4	-1091.459	No_MMseqs	No_MMseqs	No_MMseqs	No_MMseqs	27	142.52298	3.07840722853616E-41	No_custom_HMM	No_custom_HMM	No_custom_HMM	27	ab initio prediction:PHANOTATE:1.6.7	CDS	#35d7ff	tail completion or Neck1 protein	connector	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
PZWAVLBE_CDS_0045	30180	30695	+	SAMN02470293_p4	-2448.201	No_MMseqs	No_MMseqs	No_MMseqs	No_MMseqs	55	130.386597	1.15663519486332E-37	No_custom_HMM	No_custom_HMM	No_custom_HMM	55	ab initio prediction:PHANOTATE:1.6.7	CDS	#35d7ff	head closure	connector	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
YWLUTXVB_CDS_0025	16082	15429	-	SAMN02470441_p1	-3435.632	No_MMseqs	No_MMseqs	No_MMseqs	No_MMseqs	26	81.798981	1.18767485148645E-22	No_custom_HMM	No_custom_HMM	No_custom_HMM	26	ab initio prediction:PHANOTATE:1.6.7	CDS	#35d7ff	tail completion or Neck1 protein	connector	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
YWLUTXVB_CDS_0026	16563	16075	-	SAMN02470441_p1	-1405.352	No_MMseqs	No_MMseqs	No_MMseqs	No_MMseqs	65	93.470924	2.22759523894151E-26	No_custom_HMM	No_custom_HMM	No_custom_HMM	65	ab initio prediction:PHANOTATE:1.6.7	CDS	#35d7ff	tail terminator	connector	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
YWLUTXVB_CDS_0027	17039	16575	-	SAMN02470441_p1	-302.3657	No_MMseqs	No_MMseqs	No_MMseqs	No_MMseqs	71	150.48909	6.67480935729166E-44	No_custom_HMM	No_custom_HMM	No_custom_HMM	71	ab initio prediction:PHANOTATE:1.6.7	CDS	#35d7ff	head-tail adaptor Ad1	connector	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
ZPYIPNHC_CDS_0026	15947	15291	-	SAMN02470507_p2	-2524.737	No_MMseqs	No_MMseqs	No_MMseqs	No_MMseqs	26	68.440582	1.38065045644308E-18	No_custom_HMM	No_custom_HMM	No_custom_HMM	26	ab initio prediction:PHANOTATE:1.6.7	CDS	#35d7ff	tail completion or Neck1 protein	connector	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
ZPYIPNHC_CDS_0027	16422	15931	-	SAMN02470507_p2	-3092.963	No_MMseqs	No_MMseqs	No_MMseqs	No_MMseqs	65	99.478859	3.1567126110074E-28	No_custom_HMM	No_custom_HMM	No_custom_HMM	65	ab initio prediction:PHANOTATE:1.6.7	CDS	#35d7ff	tail terminator	connector	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
ZPYIPNHC_CDS_0028	16838	16419	-	SAMN02470507_p2	-99.11701	No_MMseqs	No_MMseqs	No_MMseqs	No_MMseqs	71	89.945206	2.85942153993788E-25	No_custom_HMM	No_custom_HMM	No_custom_HMM	71	ab initio prediction:PHANOTATE:1.6.7	CDS	#35d7ff	head-tail adaptor Ad1	connector	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
DRWTEXPE_CDS_0016	12653	11985	-	SAMN02471131_p2	-12059.75	No_MMseqs	No_MMseqs	No_MMseqs	No_MMseqs	26	60.360645	3.97251872478017E-16	No_custom_HMM	No_custom_HMM	No_custom_HMM	26	ab initio prediction:PHANOTATE:1.6.7	CDS	#35d7ff	tail completion or Neck1 protein	connector	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
DRWTEXPE_CDS_0017	13128	12643	-	SAMN02471131_p2	-3456.432	No_MMseqs	No_MMseqs	No_MMseqs	No_MMseqs	65	83.01783	3.66592398268058E-23	No_custom_HMM	No_custom_HMM	No_custom_HMM	65	ab initio prediction:PHANOTATE:1.6.7	CDS	#35d7ff	tail terminator	connector	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
