vOTU	species_count	species_list	species_count_robust	species_list_robust	phage_count	spacer_count	host_count	checkv_quality
SAMN12168603_p1	5	Vibrio cholerae;Vibrio metoecus;Vibrio mimicus;Vibrio navarrensis;Vibrio paracholerae	4	Vibrio cholerae;Vibrio metoecus;Vibrio mimicus;Vibrio paracholerae	3	932	314	Complete
SAMN12670125_p3	4	Vibrio cholerae;Vibrio metoecus;Vibrio mimicus;Vibrio paracholerae	4	Vibrio cholerae;Vibrio metoecus;Vibrio mimicus;Vibrio paracholerae	18	732	286	High-quality
SAMN40160521_p2	4	Vibrio cholerae;Vibrio metoecus;Vibrio navarrensis;Vibrio paracholerae	3	Vibrio cholerae;Vibrio metoecus;Vibrio paracholerae	1	414	189	High-quality
SAMN07350480_p7	4	Vibrio cholerae;Vibrio metoecus;Vibrio navarrensis;Vibrio paracholerae	4	Vibrio cholerae;Vibrio metoecus;Vibrio navarrensis;Vibrio paracholerae	5	176	116	Medium-quality
SAMN38476522_p1	4	Vibrio cholerae;Vibrio metoecus;Vibrio mimicus;Vibrio paracholerae	3	Vibrio cholerae;Vibrio metoecus;Vibrio paracholerae	5	763	279	High-quality
SAMN03104881_p1	4	Vibrio cholerae;Vibrio metoecus;Vibrio mimicus;Vibrio paracholerae	3	Vibrio cholerae;Vibrio metoecus;Vibrio paracholerae	1	540	251	High-quality
SAMN17188296_p1	4	Vibrio cholerae;Vibrio harveyi;Vibrio parahaemolyticus;Vibrio vulnificus	2	Vibrio harveyi;Vibrio parahaemolyticus	1	10	6	High-quality
SAMN36689559_p3	4	Vibrio cholerae;Vibrio metoecus;Vibrio mimicus;Vibrio paracholerae	3	Vibrio cholerae;Vibrio metoecus;Vibrio paracholerae	7	821	277	High-quality
SAMN34315296_p2	4	Vibrio cholerae;Vibrio metoecus;Vibrio mimicus;Vibrio paracholerae	3	Vibrio cholerae;Vibrio metoecus;Vibrio paracholerae	1	443	237	High-quality
SAMN15654241_p1	4	Vibrio cholerae;Vibrio metoecus;Vibrio mimicus;Vibrio paracholerae	3	Vibrio cholerae;Vibrio metoecus;Vibrio paracholerae	2	570	263	High-quality
SAMN14944058_p4	4	Vibrio cholerae;Vibrio metoecus;Vibrio mimicus;Vibrio paracholerae	3	Vibrio cholerae;Vibrio metoecus;Vibrio paracholerae	1	491	242	Complete
SAMN28495021_p1	4	Vibrio cholerae;Vibrio navarrensis;Vibrio parahaemolyticus;Vibrio vulnificus	4	Vibrio cholerae;Vibrio navarrensis;Vibrio parahaemolyticus;Vibrio vulnificus	6	25	20	High-quality
SAMN11039182_p1	4	Vibrio cholerae;Vibrio harveyi;Vibrio navarrensis;Vibrio vulnificus	3	Vibrio cholerae;Vibrio harveyi;Vibrio navarrensis	1	7	7	High-quality
SAMN28511831_p1	4	Vibrio cholerae;Vibrio navarrensis;Vibrio parahaemolyticus;Vibrio vulnificus	3	Vibrio cholerae;Vibrio navarrensis;Vibrio parahaemolyticus	1	18	16	High-quality
SAMN52950332_p3	4	Vibrio cholerae;Vibrio fluvialis;Vibrio furnissii;Vibrio navarrensis	2	Vibrio cholerae;Vibrio fluvialis	1	47	47	Medium-quality
SAMN13023390_p4	4	Vibrio cholerae;Vibrio harveyi;Vibrio paracholerae;Vibrio vulnificus	4	Vibrio cholerae;Vibrio harveyi;Vibrio paracholerae;Vibrio vulnificus	1	13	12	High-quality
SAMN14081013_p3	4	Vibrio cholerae;Vibrio harveyi;Vibrio parahaemolyticus;Vibrio vulnificus	3	Vibrio harveyi;Vibrio parahaemolyticus;Vibrio vulnificus	2	19	12	Complete
SAMN09386758_p1	4	Vibrio cholerae;Vibrio harveyi;Vibrio parahaemolyticus;Vibrio vulnificus	3	Vibrio harveyi;Vibrio parahaemolyticus;Vibrio vulnificus	3	17	12	Complete
SAMN02470293_p4	4	Vibrio cholerae;Vibrio harveyi;Vibrio metoecus;Vibrio navarrensis	2	Vibrio cholerae;Vibrio harveyi	1	9	6	Medium-quality
SAMN40453154_p1	4	Vibrio cholerae;Vibrio harveyi;Vibrio navarrensis;Vibrio paracholerae	3	Vibrio cholerae;Vibrio harveyi;Vibrio navarrensis	1	29	27	High-quality
SAMEA115018757_p1	4	Vibrio cholerae;Vibrio fluvialis;Vibrio furnissii;Vibrio navarrensis	3	Vibrio cholerae;Vibrio fluvialis;Vibrio navarrensis	5	37	36	High-quality
SAMN40627813_p1	4	Vibrio cholerae;Vibrio harveyi;Vibrio parahaemolyticus;Vibrio vulnificus	4	Vibrio cholerae;Vibrio harveyi;Vibrio parahaemolyticus;Vibrio vulnificus	1	24	20	High-quality
SAMN12057861_p1	4	Vibrio cholerae;Vibrio fluvialis;Vibrio navarrensis;Vibrio paracholerae	3	Vibrio cholerae;Vibrio fluvialis;Vibrio paracholerae	1	11	9	High-quality
SAMN52950338_p1	4	Vibrio cholerae;Vibrio cidicii;Vibrio paracholerae;Vibrio vulnificus	3	Vibrio cholerae;Vibrio paracholerae;Vibrio vulnificus	8	76	46	Medium-quality
SAMN16268043_p1	4	Vibrio cholerae;Vibrio metoecus;Vibrio navarrensis;Vibrio paracholerae	4	Vibrio cholerae;Vibrio metoecus;Vibrio navarrensis;Vibrio paracholerae	2	121	78	High-quality
SAMN28767231_p1	4	Vibrio cholerae;Vibrio navarrensis;Vibrio parahaemolyticus;Vibrio vulnificus	3	Vibrio cholerae;Vibrio navarrensis;Vibrio parahaemolyticus	1	21	20	High-quality
SAMN29328593_p1	4	Vibrio cholerae;Vibrio metoecus;Vibrio navarrensis;Vibrio paracholerae	3	Vibrio cholerae;Vibrio metoecus;Vibrio paracholerae	2	433	208	Medium-quality
SAMN09386818_p2	4	Vibrio cholerae;Vibrio navarrensis;Vibrio paracholerae;Vibrio vulnificus	3	Vibrio cholerae;Vibrio paracholerae;Vibrio vulnificus	1	37	35	Complete
SAMN10963619_p1	4	Vibrio cholerae;Vibrio metoecus;Vibrio mimicus;Vibrio paracholerae	3	Vibrio cholerae;Vibrio metoecus;Vibrio paracholerae	5	464	222	High-quality
SAMN40160509_p2	4	Vibrio cholerae;Vibrio metoecus;Vibrio navarrensis;Vibrio paracholerae	3	Vibrio cholerae;Vibrio navarrensis;Vibrio paracholerae	2	212	135	Medium-quality
SAMN40604373_p1	4	Vibrio cholerae;Vibrio harveyi;Vibrio navarrensis;Vibrio paracholerae	3	Vibrio cholerae;Vibrio harveyi;Vibrio navarrensis	1	32	32	High-quality
SAMN13897683_p3	4	Vibrio cholerae;Vibrio metoecus;Vibrio mimicus;Vibrio paracholerae	3	Vibrio cholerae;Vibrio metoecus;Vibrio paracholerae	4	590	267	Medium-quality
SAMN41254075_p5	4	Vibrio cholerae;Vibrio metoecus;Vibrio mimicus;Vibrio paracholerae	4	Vibrio cholerae;Vibrio metoecus;Vibrio mimicus;Vibrio paracholerae	1	371	226	Medium-quality
SAMN39525491_p1	4	Vibrio cholerae;Vibrio metoecus;Vibrio navarrensis;Vibrio paracholerae	3	Vibrio cholerae;Vibrio metoecus;Vibrio paracholerae	1	458	199	Medium-quality
SAMN12168608_p3	4	Vibrio cholerae;Vibrio metoecus;Vibrio mimicus;Vibrio paracholerae	3	Vibrio cholerae;Vibrio metoecus;Vibrio paracholerae	2	695	265	High-quality
SAMN37977892_p1	4	Vibrio cholerae;Vibrio metoecus;Vibrio mimicus;Vibrio paracholerae	4	Vibrio cholerae;Vibrio metoecus;Vibrio mimicus;Vibrio paracholerae	75	908	299	High-quality
SAMN40160499_p1	4	Vibrio cholerae;Vibrio metoecus;Vibrio mimicus;Vibrio paracholerae	3	Vibrio cholerae;Vibrio metoecus;Vibrio paracholerae	2	516	241	Complete
SAMN24777710_p1	4	Vibrio cholerae;Vibrio navarrensis;Vibrio paracholerae;Vibrio vulnificus	3	Vibrio cholerae;Vibrio navarrensis;Vibrio vulnificus	1	49	41	High-quality
SAMN26741749_p4	4	Vibrio cholerae;Vibrio metoecus;Vibrio navarrensis;Vibrio vulnificus	3	Vibrio cholerae;Vibrio navarrensis;Vibrio vulnificus	1	49	45	Complete
SAMN03483372_p2	4	Vibrio cholerae;Vibrio harveyi;Vibrio navarrensis;Vibrio paracholerae	3	Vibrio cholerae;Vibrio harveyi;Vibrio navarrensis	1	13	12	High-quality
SAMN17298289_p2	4	Vibrio cholerae;Vibrio harveyi;Vibrio navarrensis;Vibrio paracholerae	3	Vibrio cholerae;Vibrio harveyi;Vibrio navarrensis	1	13	11	High-quality
SAMN34315296_p1	4	Vibrio cholerae;Vibrio metoecus;Vibrio navarrensis;Vibrio paracholerae	2	Vibrio cholerae;Vibrio navarrensis	2	209	137	Medium-quality
SAMN24593214_p5	4	Vibrio cholerae;Vibrio fluvialis;Vibrio furnissii;Vibrio navarrensis	2	Vibrio cholerae;Vibrio fluvialis	2	83	72	High-quality
SAMN49797544_p3	4	Vibrio cholerae;Vibrio metoecus;Vibrio mimicus;Vibrio paracholerae	4	Vibrio cholerae;Vibrio metoecus;Vibrio mimicus;Vibrio paracholerae	5	673	270	High-quality
SAMN49797556_p1	4	Vibrio cholerae;Vibrio metoecus;Vibrio mimicus;Vibrio paracholerae	3	Vibrio cholerae;Vibrio metoecus;Vibrio paracholerae	10	699	281	Complete
SAMN12057860_p2	4	Vibrio cholerae;Vibrio metoecus;Vibrio paracholerae;Vibrio vulnificus	2	Vibrio cholerae;Vibrio paracholerae	7	45	31	Medium-quality
SAMN40160518_p1	4	Vibrio cholerae;Vibrio metoecus;Vibrio mimicus;Vibrio paracholerae	3	Vibrio cholerae;Vibrio metoecus;Vibrio paracholerae	1	291	180	Medium-quality
SAMN12057814_p1	4	Vibrio cholerae;Vibrio metoecus;Vibrio paracholerae;Vibrio vulnificus	1	Vibrio cholerae	1	31	23	Medium-quality
SAMN38476540_p1	4	Vibrio cholerae;Vibrio metoecus;Vibrio mimicus;Vibrio paracholerae	3	Vibrio cholerae;Vibrio metoecus;Vibrio paracholerae	1	221	145	Medium-quality
SAMN14214611_p2	4	Vibrio cholerae;Vibrio metoecus;Vibrio mimicus;Vibrio navarrensis	3	Vibrio cholerae;Vibrio metoecus;Vibrio navarrensis	1	207	142	Medium-quality
SAMN07367890_p1	4	Vibrio cholerae;Vibrio metoecus;Vibrio mimicus;Vibrio paracholerae	3	Vibrio cholerae;Vibrio metoecus;Vibrio paracholerae	1	238	153	Medium-quality
SAMN15646506_p4	4	Vibrio cholerae;Vibrio metoecus;Vibrio mimicus;Vibrio paracholerae	3	Vibrio cholerae;Vibrio metoecus;Vibrio paracholerae	1	293	179	Medium-quality
SAMN38494069_p2	4	Vibrio cholerae;Vibrio metoecus;Vibrio navarrensis;Vibrio paracholerae	3	Vibrio cholerae;Vibrio metoecus;Vibrio paracholerae	1	284	158	Medium-quality
SAMN29395242_p2	4	Vibrio cholerae;Vibrio fluvialis;Vibrio navarrensis;Vibrio paracholerae	4	Vibrio cholerae;Vibrio fluvialis;Vibrio navarrensis;Vibrio paracholerae	1	52	51	High-quality
SAMN56501511_p3	4	Vibrio cholerae;Vibrio metoecus;Vibrio navarrensis;Vibrio paracholerae	4	Vibrio cholerae;Vibrio metoecus;Vibrio navarrensis;Vibrio paracholerae	7	144	95	Medium-quality
SAMN45093038_p3	4	Vibrio cholerae;Vibrio metoecus;Vibrio mimicus;Vibrio navarrensis	3	Vibrio cholerae;Vibrio metoecus;Vibrio navarrensis	7	190	112	Medium-quality
SAMN36689554_p3	4	Vibrio cholerae;Vibrio metoecus;Vibrio mimicus;Vibrio paracholerae	3	Vibrio cholerae;Vibrio metoecus;Vibrio paracholerae	9	449	244	Medium-quality
SAMN56681712_p1	4	Vibrio cholerae;Vibrio metoecus;Vibrio mimicus;Vibrio paracholerae	3	Vibrio cholerae;Vibrio metoecus;Vibrio paracholerae	5	643	271	High-quality
SAMN02435859_p3	3	Vibrio cholerae;Vibrio metoecus;Vibrio navarrensis	3	Vibrio cholerae;Vibrio metoecus;Vibrio navarrensis	3	157	94	Medium-quality
SAMN13897693_p1	3	Vibrio cholerae;Vibrio metoecus;Vibrio paracholerae	3	Vibrio cholerae;Vibrio metoecus;Vibrio paracholerae	1	605	235	High-quality
SAMN40643599_p2	3	Vibrio cholerae;Vibrio harveyi;Vibrio parahaemolyticus	2	Vibrio harveyi;Vibrio parahaemolyticus	1	9	5	High-quality
SAMN07338103_p2	3	Vibrio cholerae;Vibrio navarrensis;Vibrio vulnificus	2	Vibrio cholerae;Vibrio navarrensis	1	11	7	Medium-quality
SAMN14944065_p3	3	Vibrio cholerae;Vibrio metoecus;Vibrio navarrensis	3	Vibrio cholerae;Vibrio metoecus;Vibrio navarrensis	2	165	109	Medium-quality
SAMN12648312_p2	3	Vibrio cholerae;Vibrio metoecus;Vibrio paracholerae	3	Vibrio cholerae;Vibrio metoecus;Vibrio paracholerae	1	429	211	High-quality
SAMN40604354_p2	3	Vibrio cholerae;Vibrio navarrensis;Vibrio paracholerae	2	Vibrio cholerae;Vibrio navarrensis	1	31	30	High-quality
SAMN12057876_p1	3	Vibrio cholerae;Vibrio metoecus;Vibrio paracholerae	3	Vibrio cholerae;Vibrio metoecus;Vibrio paracholerae	3	643	259	High-quality
SAMN09386766_p4	3	Vibrio cholerae;Vibrio navarrensis;Vibrio paracholerae	2	Vibrio cholerae;Vibrio navarrensis	1	32	31	High-quality
SAMN13897699_p1	3	Vibrio cholerae;Vibrio metoecus;Vibrio paracholerae	3	Vibrio cholerae;Vibrio metoecus;Vibrio paracholerae	5	613	259	High-quality
SAMN10970911_p1	3	Vibrio cholerae;Vibrio metoecus;Vibrio paracholerae	3	Vibrio cholerae;Vibrio metoecus;Vibrio paracholerae	7	790	290	High-quality
SAMN36689567_p2	3	Vibrio cholerae;Vibrio metoecus;Vibrio paracholerae	3	Vibrio cholerae;Vibrio metoecus;Vibrio paracholerae	6	636	265	High-quality
SAMN15818768_p3	3	Vibrio cholerae;Vibrio metoecus;Vibrio paracholerae	3	Vibrio cholerae;Vibrio metoecus;Vibrio paracholerae	4	727	273	High-quality
SAMN07739081_p4	3	Vibrio cholerae;Vibrio navarrensis;Vibrio paracholerae	2	Vibrio cholerae;Vibrio navarrensis	1	36	33	High-quality
SAMN41254067_p4	3	Vibrio cholerae;Vibrio metoecus;Vibrio paracholerae	3	Vibrio cholerae;Vibrio metoecus;Vibrio paracholerae	4	739	274	High-quality
SAMN17298282_p4	3	Vibrio cholerae;Vibrio navarrensis;Vibrio paracholerae	2	Vibrio cholerae;Vibrio navarrensis	1	32	31	High-quality
SAMN08984076_p2	3	Vibrio cholerae;Vibrio metoecus;Vibrio paracholerae	3	Vibrio cholerae;Vibrio metoecus;Vibrio paracholerae	2	605	277	High-quality
SAMN14752703_p6	3	Vibrio cholerae;Vibrio metoecus;Vibrio navarrensis	2	Vibrio cholerae;Vibrio metoecus	2	108	73	Medium-quality
SAMN17159947_p1	3	Vibrio cholerae;Vibrio metoecus;Vibrio navarrensis	3	Vibrio cholerae;Vibrio metoecus;Vibrio navarrensis	5	175	107	Medium-quality
SAMN13404277_p1	3	Vibrio cholerae;Vibrio metoecus;Vibrio mimicus	2	Vibrio cholerae;Vibrio metoecus	2	210	141	Medium-quality
SAMN09662877_p2	3	Vibrio cholerae;Vibrio navarrensis;Vibrio paracholerae	2	Vibrio cholerae;Vibrio navarrensis	4	219	135	Medium-quality
SAMN40160524_p1	3	Vibrio cholerae;Vibrio metoecus;Vibrio navarrensis	3	Vibrio cholerae;Vibrio metoecus;Vibrio navarrensis	1	141	99	Medium-quality
SAMN13706869_p1	3	Vibrio cholerae;Vibrio navarrensis;Vibrio parahaemolyticus	2	Vibrio cholerae;Vibrio parahaemolyticus	1	13	10	High-quality
SAMN30418558_p1	3	Vibrio cholerae;Vibrio navarrensis;Vibrio parahaemolyticus	2	Vibrio cholerae;Vibrio parahaemolyticus	4	27	10	High-quality
SAMN02368294_p1	3	Vibrio cholerae;Vibrio navarrensis;Vibrio parahaemolyticus	2	Vibrio cholerae;Vibrio parahaemolyticus	2	17	10	High-quality
SAMN30916801_p1	3	Vibrio cholerae;Vibrio navarrensis;Vibrio parahaemolyticus	1	Vibrio navarrensis	1	4	4	Medium-quality
SAMN16587835_p2	3	Vibrio cholerae;Vibrio navarrensis;Vibrio parahaemolyticus	1	Vibrio cholerae	3	6	6	Medium-quality
SAMN17298286_p1	3	Vibrio cholerae;Vibrio metoecus;Vibrio navarrensis	2	Vibrio cholerae;Vibrio metoecus	1	5	5	Medium-quality
SAMN37256235_p1	3	Vibrio cholerae;Vibrio navarrensis;Vibrio parahaemolyticus	2	Vibrio cholerae;Vibrio navarrensis	9	11	10	High-quality
SAMN41809259_p1	3	Vibrio cholerae;Vibrio navarrensis;Vibrio parahaemolyticus	2	Vibrio cholerae;Vibrio navarrensis	3	11	10	High-quality
SAMN44841005_p2	3	Vibrio cholerae;Vibrio navarrensis;Vibrio vulnificus	2	Vibrio cholerae;Vibrio vulnificus	2	9	9	Medium-quality
SAMN16268016_p1	3	Vibrio cholerae;Vibrio fluvialis;Vibrio mimicus	2	Vibrio cholerae;Vibrio fluvialis	1	15	15	High-quality
SAMN09386766_p2	3	Vibrio cholerae;Vibrio navarrensis;Vibrio vulnificus	2	Vibrio cholerae;Vibrio navarrensis	4	18	17	High-quality
SAMN15763361_p2	3	Vibrio fluvialis;Vibrio furnissii;Vibrio paracholerae	2	Vibrio fluvialis;Vibrio paracholerae	1	53	37	High-quality
SAMN12668377_p3	3	Vibrio cholerae;Vibrio navarrensis;Vibrio parahaemolyticus	2	Vibrio cholerae;Vibrio parahaemolyticus	2	24	10	High-quality
SAMN56681718_p2	3	Vibrio cholerae;Vibrio metoecus;Vibrio navarrensis	3	Vibrio cholerae;Vibrio metoecus;Vibrio navarrensis	1	105	79	Medium-quality
SAMN40160512_p3	3	Vibrio cholerae;Vibrio metoecus;Vibrio navarrensis	3	Vibrio cholerae;Vibrio metoecus;Vibrio navarrensis	5	147	92	Medium-quality
SAMN56681722_p1	3	Vibrio cholerae;Vibrio metoecus;Vibrio navarrensis	3	Vibrio cholerae;Vibrio metoecus;Vibrio navarrensis	1	142	100	Medium-quality
SAMN07192612_p2	3	Vibrio cholerae;Vibrio metoecus;Vibrio navarrensis	3	Vibrio cholerae;Vibrio metoecus;Vibrio navarrensis	16	158	98	Medium-quality
SAMN07350470_p2	3	Vibrio cholerae;Vibrio metoecus;Vibrio navarrensis	3	Vibrio cholerae;Vibrio metoecus;Vibrio navarrensis	1	134	87	Medium-quality
SAMN56501506_p2	3	Vibrio cholerae;Vibrio metoecus;Vibrio navarrensis	3	Vibrio cholerae;Vibrio metoecus;Vibrio navarrensis	8	246	135	Medium-quality
SAMN06013680_p2	3	Vibrio cholerae;Vibrio navarrensis;Vibrio paracholerae	2	Vibrio cholerae;Vibrio navarrensis	1	33	32	High-quality
SAMN40627812_p2	3	Vibrio cholerae;Vibrio harveyi;Vibrio navarrensis	3	Vibrio cholerae;Vibrio harveyi;Vibrio navarrensis	1	8	7	High-quality
SAMN06484414_p1	3	Vibrio cholerae;Vibrio mimicus;Vibrio paracholerae	3	Vibrio cholerae;Vibrio mimicus;Vibrio paracholerae	2	469	227	High-quality
SAMN28767253_p4	3	Vibrio cholerae;Vibrio harveyi;Vibrio vulnificus	2	Vibrio cholerae;Vibrio harveyi	1	13	5	Complete
SAMN12816916_p3	3	Vibrio cholerae;Vibrio navarrensis;Vibrio paracholerae	2	Vibrio cholerae;Vibrio navarrensis	2	10	10	High-quality
SAMN09270229_p3	3	Vibrio cholerae;Vibrio navarrensis;Vibrio paracholerae	2	Vibrio cholerae;Vibrio navarrensis	1	8	8	High-quality
SAMN36689567_p1	3	Vibrio cholerae;Vibrio metoecus;Vibrio paracholerae	3	Vibrio cholerae;Vibrio metoecus;Vibrio paracholerae	3	494	223	Medium-quality
SAMN38736038_p3	3	Vibrio cholerae;Vibrio fluvialis;Vibrio furnissii	1	Vibrio fluvialis	1	16	13	High-quality
SAMN36689552_p1	3	Vibrio cholerae;Vibrio metoecus;Vibrio navarrensis	3	Vibrio cholerae;Vibrio metoecus;Vibrio navarrensis	2	116	86	Medium-quality
SAMN12288798_p2	3	Vibrio cholerae;Vibrio metoecus;Vibrio navarrensis	3	Vibrio cholerae;Vibrio metoecus;Vibrio navarrensis	1	66	50	Medium-quality
SAMN41920669_p2	3	Vibrio cholerae;Vibrio navarrensis;Vibrio parahaemolyticus	2	Vibrio cholerae;Vibrio parahaemolyticus	21	31	12	High-quality
SAMN15889509_p1	3	Vibrio cholerae;Vibrio navarrensis;Vibrio vulnificus	3	Vibrio cholerae;Vibrio navarrensis;Vibrio vulnificus	1	12	9	High-quality
SAMN14861780_p3	3	Vibrio cholerae;Vibrio navarrensis;Vibrio vulnificus	3	Vibrio cholerae;Vibrio navarrensis;Vibrio vulnificus	2	16	13	High-quality
